Game Mode,Challenge,Id,Guesses,Time (ms),Solve Assist
practice,normal,40624991,37,34910,false
practice,normal,40625028,37,34207,false
practice,normal,40625065,37,34297,false
practice,normal,40625101,37,34467,false
practice,normal,40625138,37,37599,false
practice,normal,40625178,36,33428,false
practice,normal,40625213,37,35977,false
practice,normal,40625252,37,35533,false
practice,normal,40625289,37,35361,false
practice,normal,40625327,37,35806,false
practice,normal,40625365,37,35993,false
practice,normal,40625403,37,35508,false
practice,normal,40625441,36,33116,false
practice,normal,40625476,37,35280,false
practice,normal,40625513,36,33909,false
practice,normal,40625549,37,35831,false
practice,normal,40625587,37,35712,false
practice,normal,40625625,37,34632,false
practice,normal,40625662,37,35575,false
practice,normal,40625700,37,35202,false
practice,normal,40625737,37,36071,false
practice,normal,40625775,37,35886,false
practice,normal,40625813,37,35019,false
practice,normal,40625850,37,36137,false
practice,normal,40625889,37,36880,false
practice,normal,40625928,37,35318,false
practice,normal,40625966,37,35869,false
practice,normal,40626004,37,35180,false
practice,normal,40626041,37,35070,false
practice,normal,40626078,37,34944,false
practice,normal,40626115,37,35215,false
practice,normal,40626153,36,32438,false
practice,normal,40626187,37,35101,false
practice,normal,40626224,37,35117,false
practice,normal,40626262,36,32715,false
practice,normal,40626297,37,36538,false
practice,normal,40626335,37,37739,false
practice,normal,40626375,37,35931,false
practice,normal,40626413,37,35316,false
practice,normal,40626451,37,36629,false
practice,normal,40626489,37,34614,false
practice,normal,40626526,37,35876,false
practice,normal,40626564,37,34922,false
practice,normal,40626601,37,34723,false
practice,normal,40626638,37,34985,false
practice,normal,40626675,37,34449,false
practice,normal,40626712,37,34837,false
practice,normal,40626749,37,35010,false
practice,normal,40626786,37,34370,false
practice,normal,40626822,37,25476,false